record_id,paper_title,difficulty,figure_number,pdf_filename,geojson_filename,image_filename,source_url,license,caption
habitat_suitability_assessment_for_tule,Habitat suitability assessment for tule elk in the San Francisco Bay and Monterey Bay areas,0.5,4,cdfw-08.pdf,habitat_suitability_assessment_for_tule_4.geojson,habitat_suitability_assessment_for_tule_4.png,https://journal.wildlife.ca.gov/2023/12/29/habitat-suitability-assessment-for-tule-elk-in-the-san-francisco-bay-and-monterey-bay-areas/?print=pdf,public domain,"Map of the study area, inset on map of California. Included are GPS collar locations of tule elk used to fit resource selection functions then used to predict habitat across the study area, in addition to the approximate locations of other tule elk herds throughout the area. These known elk location polygons were derived from buffering formal aerial and ground surveys conducted by CDFW staff, opportunistic public reported observations, and hunter reported harvest locations"
utilizing_the_timetoevent_framework_to,Utilizing the time-to-event framework to estimate elk abundance over a large spatial scale in the Klamath Mountains of California,0.3,1,cdfw-09.pdf,utilizing_the_timetoevent_framework_to_1.geojson,utilizing_the_timetoevent_framework_to_1.png,https://journal.wildlife.ca.gov/2023/11/21/utilizing-the-time-to-event-framework-to-estimate-elk-abundance-over-a-large-spatial-scale-in-the-klamath-mountains-of-california/?print=pdf,public domain,"The Marble Mountains Elk Management Unit study area with major land cover types, located in portions of Humboldt, Shasta, Siskiyou, Tehama, and Trinity counties in the Klamath Mountains of northern California, USA"
spatial_relationships_and_mesoscale_habitat,"Spatial relationships and mesoscale habitat variance in co-occurring populations of Church’s sideband and Trinity bristle snail in the Greater Trinity Basin, northern California",0.6,1,cdfw-10.pdf,spatial_relationships_and_mesoscale_habitat_1.geojson,spatial_relationships_and_mesoscale_habitat_1.png,https://journal.wildlife.ca.gov/2023/11/21/spatial-relationships-and-mesoscale-habitat-variance-in-co-occurring-populations-of-churchs-sideband-and-trinity-bristle-snail-in-the-greater-trinity-basin-northern-california/?print=pdf,public domain,"Map of study area and distribution of sampled populations of M. churchi and M. setosa within the Greater Trinity Basin, including the area of hypothesized co-occurrence (i.e., red circle). Included is a red colored buffer outline (radius ~20 km = 1,256.6 km2 area) surrounding the hypothesized center of co-occurrence."
postfire_survival_of_the_threatened,Post-fire survival of the threatened California red-legged frog in the Sierra Nevada following the Mosquito Fire,0.5,4,cdfw-11.pdf,postfire_survival_of_the_threatened_4.geojson,postfire_survival_of_the_threatened_4.png,https://journal.wildlife.ca.gov/2023/07/10/post-fire-survival-of-the-threatened-california-red-legged-frog-in-the-sierra-nevada-following-the-mosquito-fire/?print=pdf,public domain,"Big Gun Mitigation site in Michigan Bluff, Placer County, CA, USA (outlined in dashed yellow), with School Road going north/south along left edge. Individual ponds numbered as reported."
ceratonova_shasta_infection_in_lower,Ceratonova shasta infection in lower Feather River Chinook juveniles and trends in water-borne spore stages,0.5,1,cdfw-12.pdf,ceratonova_shasta_infection_in_lower_1.geojson,ceratonova_shasta_infection_in_lower_1.png,https://journal.wildlife.ca.gov/2023/07/10/ceratonova-shasta-infection-in-lower-feather-river-chinook-juveniles-and-trends-in-water-borne-spore-stages/?print=pdf,public domain,"Map of study site on the lower Feather River (below Oroville Dam) and associated tributaries in northern California, USA."
impacts_of_the_czu_lightning,Impacts of the CZU Lightning Complex Fire of August 2020 on the forests of Big Basin Redwoods State Park,0.7,1,cdfw-13.pdf,impacts_of_the_czu_lightning_1.geojson,impacts_of_the_czu_lightning_1.png,https://journal.wildlife.ca.gov/2023/04/12/impacts-of-the-czu-lightning-complex-fire-of-august-2020-on-the-forests-of-big-basin-redwoods-state-park/?print=pdf,public domain,National Land Cover Dataset from 2019 (Dewitz and USGS 2021) for pre-CZU vegetation cover in Big Basin Redwoods State Park.
first_record_of_paronatrema_vaginicola,"First record of Paronatrema vaginicola (Dollfus 1937) parasite in the western coast of Baja California Sur, Mexico",0.1,1,cdfw-14.pdf,first_record_of_paronatrema_vaginicola_1.geojson,first_record_of_paronatrema_vaginicola_1.png,https://journal.wildlife.ca.gov/2023/04/12/first-record-of-paronatrema-vaginicola-dollfus-1937-parasite-in-the-western-coast-of-baja-california-sur-mexico/?print=pdf,public domain,"Fishing area of the commercial fishing fleet Damasta for blue shark Prionace glauca in the western coast of Baja California Sur, M�xico from November 2013 to March 2014. * indicate shark catching"
recovering_the_lost_potential_of,Recovering the lost potential of meadows to help mitigate challenges facing California’s forests and water supply,1,5,cdfw-15.pdf,recovering_the_lost_potential_of_5.geojson,recovering_the_lost_potential_of_5.png,https://journal.wildlife.ca.gov/2023/04/12/recovering-the-lost-potential-of-meadows-to-help-mitigate-challenges-facing-californias-forests-and-water-supply/?print=pdf,public domain,"LiDAR-derived hillshade (A) of a long, flat floodplain on the Sierra National Forest with the Sierra Nevada MultiSource Meadow Polygons highlighted in red and the model-predicted polygon in gold. Note the clearly identifiable incised channel between the two SNMMP polygons and downstream of the rightmost SNMMP polygon where the Lost Meadow Model predicted potential meadow habitat. The aerial imagery (B) shows that the SNMMP polygons (outlined in red) support meadow vegetation while the areas with incision outside the SNMMP polygons but within the model-predicted areas (outlined in gold) support forest. The left SNMMP meadow is named Long Meadow and is 440 m long. The model-predicted potential meadow encompassing Long Meadow is 1,170 m long"
time_series_modeling_of_rainfall,"Time series modeling of rainfall and lake elevation in relation to breaching events at the Lake Earl and Tolowa lagoon system, coastal northern California",0.4,1,cdfw-17.pdf,time_series_modeling_of_rainfall_1.geojson,time_series_modeling_of_rainfall_1.png,https://journal.wildlife.ca.gov/2022/11/22/time-series-modeling-of-rainfall-and-lake-elevation-in-relation-to-breaching-events-at-the-lake-earl-and-tolowa-lagoon-system-coastal-northern-california/?print=pdf,public domain,"Map of Lake Earl Wildlife Area, Lake Tolowa, the breach site and surrounding areas associated with the lagoon system in proximity to the Pacific Ocean."
incorporating_expanded_sampling_into_an,Incorporating expanded sampling into an alternative abundance index for the Fall Midwater Trawl survey,0.3,1,cdfw-18.pdf,incorporating_expanded_sampling_into_an_1.geojson,incorporating_expanded_sampling_into_an_1.png,https://journal.wildlife.ca.gov/2022/11/22/incorporating-expanded-sampling-into-an-alternative-abundance-index-for-the-fall-midwater-trawl-survey/?print=pdf,public domain,Map of all the core and non-core stations sampled during the Fall Midwater Trawl Survey. Corestations are the original 100 stations (circle symbols) used since the survey inception in 1967. Twenty-two non-core stations were added to the survey beginning in 1990 (triangle symbols). Polygons depict the 23 revised regions of the San Francisco Estuary and Sacramento-San Joaquin Delta. Water volume estimated for each region is used as a weighting factor in the calculation of the Alternative index (Table 1).
macroscale_effects_of_the_monument,"Macroscale effects of the Monument Fire on suitable habitat of the Trinity bristle snail in the Greater Trinity Basin, Klamath Bioregion, northern California",0.4,1,cdfw-19.pdf,macroscale_effects_of_the_monument_1.geojson,macroscale_effects_of_the_monument_1.png,https://journal.wildlife.ca.gov/2022/11/22/macroscale-effects-of-the-monument-fire-on-suitable-habitat-of-the-trinity-bristle-snail-in-the-greater-trinity-basin-klamath-bioregion-northern-california/?print=pdf,public domain,"Study area showing historic fire scars colored shades of gray (years 2000�2018), boundary of the Greater Trinity Basin (745,817 ha), known geographic range of M. setosa (191,156 ha), and boundary of the Monument Fire in northern California"
onceiconic_pismo_clams_persist_in,Once-iconic Pismo clams persist in southern California at low intertidal population densities and with variable recruitment,0.5,1,cdfw-20.pdf,onceiconic_pismo_clams_persist_in_1.geojson,onceiconic_pismo_clams_persist_in_1.png,https://journal.wildlife.ca.gov/2022/11/22/once-iconic-pismo-clams-persist-in-southern-california-at-low-intertidal-population-densities-and-with-variable-recruitment/?print=pdf,public domain,"Maps of Pismo clam (Tivela stultorum) bed densities at (A) 27 survey sites throughout southern California and (B) 11 sites in Orange and Los Angeles Counties between 2017�2022. Los Angeles County (LAC), Orange County (OC), and San Diego County (SDC) are indicated and county lines are denoted with gray lines. Site names are provided. Mean bed densities for survey sites ranged from 0 to 20.3 clams/m2 . Data point size and color are formatted on a continuous scale according to bed density, with examples of size and color for specific increments provided in the legend."
sea_level_rise_vulnerability_assessment,"Sea level rise vulnerability assessment for State wildlife areas surrounding Humboldt Bay, northern California",0.4,1,cdfw-21.pdf,sea_level_rise_vulnerability_assessment_1.geojson,sea_level_rise_vulnerability_assessment_1.png,https://journal.wildlife.ca.gov/2022/11/22/sea-level-rise-vulnerability-assessment-for-state-wildlife-areas-surrounding-humboldt-bay-northern-california/?print=pdf,public domain,Map of the location of California Department of Fish and Wildlife (CDFW) wildlife areas surrounding the margin of Humboldt Bay.
review_of_considerations_for_restoration,Review of considerations for restoration of tule elk to the San Francisco Peninsula and northern Monterey Bay counties of California,0.2,1,cdfw-22.pdf,review_of_considerations_for_restoration_1.geojson,review_of_considerations_for_restoration_1.png,https://journal.wildlife.ca.gov/2022/10/11/review-of-considerations-for-restoration-of-tule-elk-to-the-san-francisco-peninsula-and-northern-monterey-bay-counties-of-california/?print=pdf,public domain,"The study area (gray shading) illustrates the counties with protected open space lands available to westward expansion of elk, if enabled by crossings over and under of U.S. Highway 101. It is bordered by San Francisco County to the north, and the Salinas River in Monterey County to the south. It also includes the area of aerial survey of the existing elk herds in Santa Clara County east of the freeway in the Diablo Range. Green shading displays topographic relief, with lighter shading indicating lower elevations and darker shading indicating higher elevations."
comparison_of_endoparasite_abundance_and,Comparison of endoparasite abundance and species richness of two Roosevelt elk herds in northern California,0.3,1,cdfw-23.pdf,comparison_of_endoparasite_abundance_and_1.geojson,comparison_of_endoparasite_abundance_and_1.png,https://journal.wildlife.ca.gov/2022/10/11/comparison-of-endoparasite-abundance-and-species-richness-of-two-roosevelt-elk-herds-in-northern-california/?print=pdf,public domain,"Location of fecal pellet sampling (n = 20) and individual observation of Roosevelt elk in Gold Bluffs Beach State Park (Humboldt County), CA, USA, from January to February 2020. Home range derived from two collared cow Roosevelt elk, Humboldt County, CA, USA. The home range was derived using kernel utilization distribution at 99% (low use), 95% (medium use), and 50% (high use)."
unintended_consequences_of_species_translocations,Unintended consequences of species translocations: changes in distribution and habitat selection of mule deer following introduction of elk,0.7,1,cdfw-24.pdf,unintended_consequences_of_species_translocations_1.geojson,unintended_consequences_of_species_translocations_1.png,https://journal.wildlife.ca.gov/2022/10/11/unintended-consequences-of-species-translocations-changes-in-distribution-and-habitat-selection-of-mule-deer-following-introduction-of-elk/?print=pdf,public domain,"Map showing the Spruce Mountain study area in northeastern Nevada, Elko County, USA. Black circles represent mule deer locations from autumn 1993 through spring 2001."
use_of_aerial_distance_sampling,Use of aerial distance sampling to estimate abundance of tule elk across a gradient of canopy cover and comparison to a concurrent fecal DNA spatial capture-recapture survey,0.3,1,cdfw-25.pdf,use_of_aerial_distance_sampling_1.geojson,use_of_aerial_distance_sampling_1.png,https://journal.wildlife.ca.gov/2022/10/11/use-of-aerial-distance-sampling-to-estimate-abundance-of-tule-elk-across-a-gradient-of-canopy-cover-and-comparison-to-a-concurrent-fecal-dna-spatial-capture-recapture-survey/?print=pdf,public domain,"Survey area for tule elk in the Interior Coast Range of north-central California in Colusa and Lake counties. The Lake Pillsbury (LPB), East Park Reservoir (EPR), and Bear Valley/Cache Creek (BV/CC) Elk Management Units (EMUs) contain both helicopter survey (MCDS) transects spaced at 800 m intervals, flown in 2018 and 2019 to gather observation data for abundance estimation following linetransect distance sampling methodology as well as fecal DNA spatial capture-recapture (SCR) transects sampled in Jun�Aug 2017�2019 (Batter et al. 2022). Blue polygons signify major water bodies. The climate is Mediterranean and characterized by hot, dry summers and mild, wet winters (Kauffman 2003). Average annual precipitation is ~76 cm, mostly occurring as rain from October through May. The landscape is rugged, with rolling foothills and grassy flats interspersed through broken peaks and ridges descending into narrow valleys; elevations range from 30�2,094 m. The dominant habitat types include blue oak (Quercus douglasii) woodland, annual grassland, chamise (Adenostoma fasciculatum) chaparral, chamise and redshank (A. sparsifolium) chaparral, montane hardwood conifer, blue oak�foothill pine (Pinus sabiniana) and agricultural lands (CDFW 2018). The landscape is made up of a mosaic of these habitat types, with private property predominantly made up of oak and open grassland in larger valleys and favorable upper slopes which grade into mixed grasslands and oak woodlands; public-administered lands are primarily composed of chaparral communities along dry, steep slopes, with smaller patches of oak woodland and mixed hardwood occurring intermittently. The primary private land uses are cattle ranching and crop production with public lands reserved for outdoor recreation including hunting, fishing, hiking, horseback riding, and wildlife viewing. "
road_and_highway_undercrossings_as,Road and highway undercrossings as potential critical linkages for California’s elk populations,0.3,1,cdfw-26.pdf,road_and_highway_undercrossings_as_1.geojson,road_and_highway_undercrossings_as_1.png,https://journal.wildlife.ca.gov/2022/10/11/road-and-highway-undercrossings-as-potential-critical-linkages-for-californias-elk-populations/?print=pdf,public domain,"Undercrossing locations (*) color coded according to subspecies of the resident elk population(s) documented utilizing the structures in northern and central California. Major highways include U.S. Highway 101 (US 101), Interstate 5 (I-5), and State Highway 20 (SH 20). Undercrossing structures include 1) US 101 Smith River Overflow Bridge, 2) US 101 Prairie Creek, 3) I-5 Cottonwood Creek Southbound, 4) I-5 Cottonwood Creek Northbound, 5) County Road 429 Tenmile Creek, 6) SH 20 North Fork Cache Creek, 7) US 101 Coyote Creek, 8) US 101 Tar Creek, 9) County Route G14 Jolon Creek North, and 10) County Route G14 Jolon Creek South. County boundaries are represented in light grey. Note: genetic assignment testing of elk in Siskiyou County (undercrossing structures 3 and 4) suggested that populations were composed of both Roosevelt and Rocky Mountain elk and their hybrids (Meredith et al. 2007). Thus, we describe the elk population(s) here as Roosevelt x Rocky Mountain elk. Based on over two years of repeated expert observations confirmed with trail cameras, a Fort Hunter Liggett tule elk herd in southern Monterey County is repeatedly utilizing a relatively small rectangular culvert where Jolon Creek, a tributary of the San Antonio River, crosses under County Route G14 (Jolon Road)"
tule_elk_selection_of_surface,Tule elk selection of surface water and forage is mediated by season and drought,0.3,1,cdfw-27.pdf,tule_elk_selection_of_surface_1.geojson,tule_elk_selection_of_surface_1.png,https://journal.wildlife.ca.gov/2022/10/11/tule-elk-selection-of-surface-water-and-forage-is-mediated-by-season-and-drought/?print=pdf,public domain,"Map of the study area overlaid with agency ownership. Study area was defined by a 100% Minimum Convex Polygon (MCP) with a 2.3 km buffer of all tule elk locations collected via GPS collar between 2005�2017, CA, USA."
habitat_use_and_reproductive_success,Habitat use and reproductive success of ospreys in central interior California,0.3,1,cdfw-28.pdf,habitat_use_and_reproductive_success_1.geojson,habitat_use_and_reproductive_success_1.png,https://journal.wildlife.ca.gov/2022/06/30/habitat-use-and-reproductive-success-of-ospreys-in-central-interior-california/?print=pdf,public domain,Nest locations and major water bodies within Sacramento River and central Sierra Nevada foothills study area.
distribution_morphology_and_karyotype_of,"Distribution, morphology, and karyotype of San Joaquin pocket mice from the western Mojave Desert",0.2,1,cdfw-29.pdf,distribution_morphology_and_karyotype_of_1.geojson,distribution_morphology_and_karyotype_of_1.png,https://journal.wildlife.ca.gov/2022/06/30/distribution-morphology-and-karyotype-of-san-joaquin-pocket-mice-from-the-western-mojave-desert/?print=pdf,public domain,"Perognathus inornatus capture locations, locations from which specimens were collected for cytogenetic analysis, and museum specimens from the Mojave Desert, California, USA."
larval_and_juvenile_longfin_smelt,Larval and juvenile Longfin Smelt diets as a function of fish size and prey density in the San Francisco Estuary,0.3,1,cdfw-30.pdf,larval_and_juvenile_longfin_smelt_1.geojson,larval_and_juvenile_longfin_smelt_1.png,https://journal.wildlife.ca.gov/2022/06/30/larval-and-juvenile-longfin-smelt-diets-as-a-function-of-fish-size-and-prey-density-in-the-san-francisco-estuary/?print=pdf,public domain,Map of the San Francisco Estuary showing the 5 regions used in this study. San Pablo Bay is the most marine influenced region and the West Delta is the most freshwater influenced.
characterization_of_a_developing_recreational,Characterization of a developing recreational deep-drop fishery for swordfish off southern California,0.3,1,cdfw-31.pdf,characterization_of_a_developing_recreational_1.geojson,characterization_of_a_developing_recreational_1.png,https://journal.wildlife.ca.gov/2022/06/30/characterization-of-a-developing-recreational-deep-drop-fishery-for-swordfish-off-southern-california/?print=pdf,public domain,"Commercial deep-set buoy gear (DSBG) and linked buoy gear (LBG) effort within the Southern California Bight based on set locations from exempted fishery trials targeting swordfish through December, 2020 overlaid with the California (CA) state water line, Channel Islands National Marine Sanctuary (NMS) and popular recreational (Rec) fishery locations (red shaded areas), as determined from stakeholder interviews and web-based catch records (Modified from NOAA Environmental Impact Statement for the Authorization of Deep-set Buoy Gear under Amendment 6 to the Fishery Management Plan for West Coast Highly Migratory Species Fisheries)"
testing_a_singlevisit_sampling_approach,Testing a single-visit sampling approach for fecal DNA abundance estimation of tule elk in the Lake Pillsbury Basin,0.31,1,cdfw-32.pdf,testing_a_singlevisit_sampling_approach_1.geojson,testing_a_singlevisit_sampling_approach_1.png,https://journal.wildlife.ca.gov/2022/05/13/testing-a-single-visit-sampling-approach-for-fecal-dna-abundance-estimation-of-tule-elk-in-the-lake-pillsbury-basin/?print=pdf,public domain,"Sampling grid (grey) superimposed over the Lake Pillsbury Basin (black dashed polygon) in Lake County, California, USA, showing 57 transects in randomly selected plots sampled during a singlevisit survey (14 Oct 2019)."
macrohabitat_suitability_model_for_the,Macrohabitat suitability model for the Trinity bristle snail in the Greater Trinity Basin of northern California,0.35,1,cdfw-33.pdf,macrohabitat_suitability_model_for_the_1.geojson,macrohabitat_suitability_model_for_the_1.png,https://journal.wildlife.ca.gov/2022/05/13/macrohabitat-suitability-model-for-the-trinity-bristle-snail-in-the-greater-trinity-basin-of-northern-california/?print=pdf,public domain,Study area and known geographic range of the Trinity bristle snail in the Greater Trinity Basin of northern California.
microhabitat_characteristics_and_management_of,Microhabitat characteristics and management of the Trinity bristle snail in the Greater Trinity Basin of northern California,0.35,1,cdfw-34.pdf,microhabitat_characteristics_and_management_of_1.geojson,microhabitat_characteristics_and_management_of_1.png,https://journal.wildlife.ca.gov/2022/05/13/microhabitat-characteristics-and-management-of-the-trinity-bristle-snail-in-the-greater-trinity-basin-of-northern-california/?print=pdf,public domain,"Map of the known geographic distribution of the Trinity bristle snail showing topographic relief, major river systems, distribution of national forests, referenced to major towns within the Greater Trinity Basin of Trinity and eastern Humboldt counties."
population_density_and_habitat_selection,"Population density and habitat selection in the San Pedro Mártir rainbow trout in mountain streams of northwestern Baja California, Mexico",0.6,2,cdfw-35.pdf,population_density_and_habitat_selection_2.geojson,population_density_and_habitat_selection_2.png,https://journal.wildlife.ca.gov/2022/05/13/population-density-and-habitat-selection-in-the-san-pedro-martir-rainbow-trout-in-mountain-streams-of-northwestern-baja-california-mexico/?print=pdf,public domain,"Study area and sampling sites for Oncorhynchus mykiss nelsoni in the Sierra San Pedro M�rtir, Baja California, Mexico. (1) San Rafael Creek at Mike�s Sky Ranch, (2) San Antonio de Murillos Creek at San Antonio Ranch, and (3) La Grulla Creek at La Grulla Meadow. PNSSPM= Parque Nacional Sierra San Pedro M�rtir."
status_and_distribution_of_arroyo,Status and distribution of Arroyo Chub within its native range,0.3,2,cdfw-36.pdf,status_and_distribution_of_arroyo_2.geojson,status_and_distribution_of_arroyo_2.png,https://journal.wildlife.ca.gov/2022/05/13/status-and-distribution-of-arroyo-chub-within-its-native-range/?print=pdf,public domain,Arroyo Chub presence/absence within each of the seven native watersheds by survey year.
machine_learning_to_understand_patterns,Machine learning to understand patterns of burn severity from the SCU Lightning Complex Fires of August 2020,1,1,cdfw-37.pdf,machine_learning_to_understand_patterns_1.geojson,machine_learning_to_understand_patterns_1.png,https://journal.wildlife.ca.gov/2022/05/13/machine-learning-to-understand-patterns-of-burn-severity-from-the-scu-lightning-complex-fires-of-august-2020/?print=pdf,public domain,"Map of Landsat dNBR burn severity classes resulting from the 2020 SCU Complex fires. Color legend of burn severity class labels is as follows: 0 = no burn, 1 = low burn, 2 = moderate burn severity, and 3 = high burn severity. Inset map of major highways in the Santa Clara Valley shows actual proximity of the fire boundary outline to San Jose urban areas."
diurnal_human_activity_and_introduced,Diurnal Human Activity and Introduced Species Affect Occurrence of Carnivores in a Human-Dominated Landscape,0.9,1,diurnal human.pdf,diurnal_human_activity_and_introduced_1.geojson,diurnal_human_activity_and_introduced_1.png,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0137854,cc-by 4.0,Map of the study area characterized by a human-dominated land-use mosaic surrounding the Nabuelbuta National Park.
rapid_population_decline_in_mckays,"Rapid population decline in McKay’s Bunting, an Alaskan endemic, highlights the species’ current status relative to international standards for vulnerable species",0.2,1,duad064.pdf,rapid_population_decline_in_mckays_1.geojson,rapid_population_decline_in_mckays_1.png,https://pubs.usgs.gov/publication/70250645,public domain,"Line transects surveyed for breeding McKay�s Buntings on St. Matthew and Hall islands, Alaska, 2003 and 2018. Elevation is displayed in shaded relief. The inset map shows the proximity of the St. Matthew Island group to mainland Alaska."
roseate_tern_breeding_dispersal_and,Roseate Tern breeding dispersal and fidelity: responses to two newly restored colony sites,0.1,1,Ecosphere - 2016 - Spendelow - Roseate Tern breeding dispersal and fidelity  responses to two newly restored colony sites.pdf,roseate_tern_breeding_dispersal_and_1.geojson,roseate_tern_breeding_dispersal_and_1.png,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecs2.1510,"open access, other",Location of study colonies (filled circles) and other colony sites (open circles) used by Roseate Terns 1988�2013 in the MA-NY-CT area of the northeastern United States.
